ferdatimi,fjoldi,hlutfall,kjordaemi,kjorstadur,sveitarfelag,svfnr
6-10,0,0.0,Norðvesturkjördæmi,Félagsheimilið Skjöldur,Helgafellssveit,3710
11-15,0,0.0,Norðvesturkjördæmi,Félagsheimilið Skjöldur,Helgafellssveit,3710
16-20,0,0.0,Norðvesturkjördæmi,Félagsheimilið Skjöldur,Helgafellssveit,3710
21-25,3,0.018633540372670808,Norðvesturkjördæmi,Félagsheimilið Skjöldur,Helgafellssveit,3710
>26,154,0.9565217391304348,Norðvesturkjördæmi,Félagsheimilið Skjöldur,Helgafellssveit,3710
0-5,6,0.13333333333333333,Norðausturkjördæmi,Félagsheimilið Sólvangur,Tjörneshreppur,6611
6-10,0,0.0,Norðausturkjördæmi,Félagsheimilið Sólvangur,Tjörneshreppur,6611
11-15,0,0.0,Norðausturkjördæmi,Félagsheimilið Sólvangur,Tjörneshreppur,6611
16-20,1,0.022222222222222223,Norðausturkjördæmi,Félagsheimilið Sólvangur,Tjörneshreppur,6611
21-25,0,0.0,Norðausturkjördæmi,Félagsheimilið Sólvangur,Tjörneshreppur,6611
>26,38,0.8444444444444444,Norðausturkjördæmi,Félagsheimilið Sólvangur,Tjörneshreppur,6611
0-5,15,0.056818181818181816,Norðvesturkjördæmi,Félagsheimilið Árgarður,Sveitarfélagið Skagafjörður,5200
6-10,19,0.07196969696969698,Norðvesturkjördæmi,Félagsheimilið Árgarður,Sveitarfélagið Skagafjörður,5200
11-15,19,0.07196969696969698,Norðvesturkjördæmi,Félagsheimilið Árgarður,Sveitarfélagið Skagafjörður,5200
16-20,6,0.022727272727272728,Norðvesturkjördæmi,Félagsheimilið Árgarður,Sveitarfélagið Skagafjörður,5200
21-25,23,0.08712121212121213,Norðvesturkjördæmi,Félagsheimilið Árgarður,Sveitarfélagið Skagafjörður,5200
>26,182,0.6893939393939394,Norðvesturkjördæmi,Félagsheimilið Árgarður,Sveitarfélagið Skagafjörður,5200
0-5,6,0.05128205128205128,Norðvesturkjördæmi,Félagsheimilið Árnesi,Árneshreppur,4901
6-10,4,0.03418803418803419,Norðvesturkjördæmi,Félagsheimilið Árnesi,Árneshreppur,4901
11-15,1,0.008547008547008548,Norðvesturkjördæmi,Félagsheimilið Árnesi,Árneshreppur,4901
16-20,1,0.008547008547008548,Norðvesturkjördæmi,Félagsheimilið Árnesi,Árneshreppur,4901
21-25,0,0.0,Norðvesturkjördæmi,Félagsheimilið Árnesi,Árneshreppur,4901
>26,105,0.8974358974358975,Norðvesturkjördæmi,Félagsheimilið Árnesi,Árneshreppur,4901
0-5,13,0.04406779661016949,Suðurkjördæmi,Félagsheimilið Ásgarður,Ásahreppur,8610
6-10,3,0.010169491525423728,Suðurkjördæmi,Félagsheimilið Ásgarður,Ásahreppur,8610
11-15,7,0.023728813559322035,Suðurkjördæmi,Félagsheimilið Ásgarður,Ásahreppur,8610
16-20,5,0.01694915254237288,Suðurkjördæmi,Félagsheimilið Ásgarður,Ásahreppur,8610
21-25,5,0.01694915254237288,Suðurkjördæmi,Félagsheimilið Ásgarður,Ásahreppur,8610
>26,262,0.888135593220339,Suðurkjördæmi,Félagsheimilið Ásgarður,Ásahreppur,8610
0-5,14,0.015765765765765764,Norðvesturkjördæmi,Félagsheimilið Þinghamar,Borgarbyggð,3609
6-10,6,0.006756756756756757,Norðvesturkjördæmi,Félagsheimilið Þinghamar,Borgarbyggð,3609
11-15,4,0.0045045045045045045,Norðvesturkjördæmi,Félagsheimilið Þinghamar,Borgarbyggð,3609
16-20,8,0.009009009009009009,Norðvesturkjördæmi,Félagsheimilið Þinghamar,Borgarbyggð,3609
21-25,2,0.0022522522522522522,Norðvesturkjördæmi,Félagsheimilið Þinghamar,Borgarbyggð,3609
>26,854,0.9617117117117117,Norðvesturkjördæmi,Félagsheimilið Þinghamar,Borgarbyggð,3609
0-5,3,0.00392156862745098,Suðurkjördæmi,Félagsheimilið Þjórsárver,Flóahreppur,8722
6-10,5,0.006535947712418301,Suðurkjördæmi,Félagsheimilið Þjórsárver,Flóahreppur,8722
11-15,1,0.00130718954248366,Suðurkjördæmi,Félagsheimilið Þjórsárver,Flóahreppur,8722
16-20,2,0.00261437908496732,Suðurkjördæmi,Félagsheimilið Þjórsárver,Flóahreppur,8722
21-25,7,0.009150326797385621,Suðurkjördæmi,Félagsheimilið Þjórsárver,Flóahreppur,8722
>26,747,0.9764705882352941,Suðurkjördæmi,Félagsheimilið Þjórsárver,Flóahreppur,8722
0-5,129,0.344,Norðausturkjördæmi,Félagsheimilið Þórsver,Langanesbyggð,6709
6-10,52,0.13866666666666666,Norðausturkjördæmi,Félagsheimilið Þórsver,Langanesbyggð,6709
11-15,27,0.072,Norðausturkjördæmi,Félagsheimilið Þórsver,Langanesbyggð,6709
16-20,2,0.005333333333333333,Norðausturkjördæmi,Félagsheimilið Þórsver,Langanesbyggð,6709
21-25,0,0.0,Norðausturkjördæmi,Félagsheimilið Þórsver,Langanesbyggð,6709
>26,165,0.44,Norðausturkjördæmi,Félagsheimilið Þórsver,Langanesbyggð,6709
0-5,75,0.08690614136732329,Suðurkjördæmi,Gerðaskóli,Suðurnesjabær,2510
6-10,338,0.39165701042873696,Suðurkjördæmi,Gerðaskóli,Suðurnesjabær,2510
11-15,300,0.34762456546929316,Suðurkjördæmi,Gerðaskóli,Suðurnesjabær,2510
16-20,104,0.1205098493626883,Suðurkjördæmi,Gerðaskóli,Suðurnesjabær,2510
21-25,14,0.016222479721900347,Suðurkjördæmi,Gerðaskóli,Suðurnesjabær,2510
>26,32,0.03707995365005794,Suðurkjördæmi,Gerðaskóli,Suðurnesjabær,2510
0-5,19,0.06643356643356643,Norðausturkjördæmi,Grenivíkurskóli,Grýtubakkahreppur,6602
6-10,110,0.38461538461538464,Norðausturkjördæmi,Grenivíkurskóli,Grýtubakkahreppur,6602
11-15,34,0.11888111888111888,Norðausturkjördæmi,Grenivíkurskóli,Grýtubakkahreppur,6602
16-20,11,0.038461538461538464,Norðausturkjördæmi,Grenivíkurskóli,Grýtubakkahreppur,6602
21-25,5,0.017482517482517484,Norðausturkjördæmi,Grenivíkurskóli,Grýtubakkahreppur,6602
>26,107,0.3741258741258741,Norðausturkjördæmi,Grenivíkurskóli,Grýtubakkahreppur,6602
0-5,44,0.23157894736842105,Norðausturkjördæmi,Grunnskóli Breiðdalshrepps,Fjarðabyggð,7300
6-10,57,0.3,Norðausturkjördæmi,Grunnskóli Breiðdalshrepps,Fjarðabyggð,7300
11-15,6,0.031578947368421054,Norðausturkjördæmi,Grunnskóli Breiðdalshrepps,Fjarðabyggð,7300
16-20,3,0.015789473684210527,Norðausturkjördæmi,Grunnskóli Breiðdalshrepps,Fjarðabyggð,7300
21-25,5,0.02631578947368421,Norðausturkjördæmi,Grunnskóli Breiðdalshrepps,Fjarðabyggð,7300
>26,75,0.39473684210526316,Norðausturkjördæmi,Grunnskóli Breiðdalshrepps,Fjarðabyggð,7300
0-5,30,0.17045454545454544,Norðvesturkjördæmi,Grunnskóli Drangsness,Kaldrananeshreppur,4902
6-10,37,0.21022727272727273,Norðvesturkjördæmi,Grunnskóli Drangsness,Kaldrananeshreppur,4902
11-15,2,0.011363636363636364,Norðvesturkjördæmi,Grunnskóli Drangsness,Kaldrananeshreppur,4902
16-20,3,0.017045454545454544,Norðvesturkjördæmi,Grunnskóli Drangsness,Kaldrananeshreppur,4902
21-25,2,0.011363636363636364,Norðvesturkjördæmi,Grunnskóli Drangsness,Kaldrananeshreppur,4902
>26,102,0.5795454545454546,Norðvesturkjördæmi,Grunnskóli Drangsness,Kaldrananeshreppur,4902
0-5,146,0.34679334916864607,Norðausturkjördæmi,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,7300
6-10,144,0.342042755344418,Norðausturkjördæmi,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,7300
11-15,54,0.12826603325415678,Norðausturkjördæmi,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,7300
16-20,12,0.028503562945368172,Norðausturkjördæmi,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,7300
21-25,10,0.023752969121140142,Norðausturkjördæmi,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,7300
>26,55,0.13064133016627077,Norðausturkjördæmi,Grunnskóli Fáskrúðsfjarðar,Fjarðabyggð,7300
0-5,258,0.2087378640776699,Suðurkjördæmi,Grunnskóli Grindavíkur,Grindavíkurbær,2300
