ferdatimi,fjoldi,hlutfall,kjordaemi,kjorstadur,sveitarfelag,svfnr
6-10,338,0.16544297601566324,Norðausturkjördæmi,Menntaskólinn á Egilsstöðum,Múlaþing,7400
11-15,222,0.10866372980910426,Norðausturkjördæmi,Menntaskólinn á Egilsstöðum,Múlaþing,7400
16-20,130,0.06363191385217817,Norðausturkjördæmi,Menntaskólinn á Egilsstöðum,Múlaþing,7400
21-25,138,0.06754772393538913,Norðausturkjördæmi,Menntaskólinn á Egilsstöðum,Múlaþing,7400
>26,1138,0.5570239843367597,Norðausturkjördæmi,Menntaskólinn á Egilsstöðum,Múlaþing,7400
0-5,189,0.34115523465703973,Norðausturkjördæmi,Menntaskólinn á Tröllaskaga,Fjallabyggð,6250
6-10,164,0.296028880866426,Norðausturkjördæmi,Menntaskólinn á Tröllaskaga,Fjallabyggð,6250
11-15,78,0.1407942238267148,Norðausturkjördæmi,Menntaskólinn á Tröllaskaga,Fjallabyggð,6250
16-20,10,0.018050541516245487,Norðausturkjördæmi,Menntaskólinn á Tröllaskaga,Fjallabyggð,6250
21-25,7,0.01263537906137184,Norðausturkjördæmi,Menntaskólinn á Tröllaskaga,Fjallabyggð,6250
>26,106,0.19133574007220217,Norðausturkjördæmi,Menntaskólinn á Tröllaskaga,Fjallabyggð,6250
0-5,9,0.008579599618684462,Norðvesturkjördæmi,Menntaskólinn á Ísafirði,Ísafjarðarbær,4200
6-10,282,0.2688274547187798,Norðvesturkjördæmi,Menntaskólinn á Ísafirði,Ísafjarðarbær,4200
11-15,285,0.2716873212583413,Norðvesturkjördæmi,Menntaskólinn á Ísafirði,Ísafjarðarbær,4200
16-20,24,0.022878932316491896,Norðvesturkjördæmi,Menntaskólinn á Ísafirði,Ísafjarðarbær,4200
21-25,2,0.0019065776930409914,Norðvesturkjördæmi,Menntaskólinn á Ísafirði,Ísafjarðarbær,4200
>26,447,0.4261201143946616,Norðvesturkjördæmi,Menntaskólinn á Ísafirði,Ísafjarðarbær,4200
0-5,12,0.03409090909090909,Suðurkjördæmi,Mánagarður,Sveitarfélagið Hornafjörður,8401
6-10,35,0.09943181818181818,Suðurkjördæmi,Mánagarður,Sveitarfélagið Hornafjörður,8401
11-15,12,0.03409090909090909,Suðurkjördæmi,Mánagarður,Sveitarfélagið Hornafjörður,8401
16-20,15,0.04261363636363636,Suðurkjördæmi,Mánagarður,Sveitarfélagið Hornafjörður,8401
21-25,10,0.028409090909090908,Suðurkjördæmi,Mánagarður,Sveitarfélagið Hornafjörður,8401
>26,268,0.7613636363636364,Suðurkjördæmi,Mánagarður,Sveitarfélagið Hornafjörður,8401
0-5,105,0.16279069767441862,Norðausturkjördæmi,Nesskóli,Fjarðabyggð,7300
6-10,223,0.3457364341085271,Norðausturkjördæmi,Nesskóli,Fjarðabyggð,7300
11-15,136,0.21085271317829457,Norðausturkjördæmi,Nesskóli,Fjarðabyggð,7300
16-20,49,0.07596899224806201,Norðausturkjördæmi,Nesskóli,Fjarðabyggð,7300
21-25,7,0.010852713178294573,Norðausturkjördæmi,Nesskóli,Fjarðabyggð,7300
>26,125,0.1937984496124031,Norðausturkjördæmi,Nesskóli,Fjarðabyggð,7300
0-5,159,0.37767220902612825,Reykjavíkurkjördæmi suður,Norðlingaskóli,Reykjavíkurborg,0000
6-10,164,0.38954869358669836,Reykjavíkurkjördæmi suður,Norðlingaskóli,Reykjavíkurborg,0000
11-15,21,0.0498812351543943,Reykjavíkurkjördæmi suður,Norðlingaskóli,Reykjavíkurborg,0000
16-20,5,0.011876484560570071,Reykjavíkurkjördæmi suður,Norðlingaskóli,Reykjavíkurborg,0000
21-25,8,0.019002375296912115,Reykjavíkurkjördæmi suður,Norðlingaskóli,Reykjavíkurborg,0000
>26,64,0.15201900237529692,Reykjavíkurkjördæmi suður,Norðlingaskóli,Reykjavíkurborg,0000
0-5,269,0.34980494148244473,Reykjavíkurkjördæmi norður,Rimaskóli,Reykjavíkurborg,0000
6-10,433,0.5630689206762028,Reykjavíkurkjördæmi norður,Rimaskóli,Reykjavíkurborg,0000
11-15,20,0.02600780234070221,Reykjavíkurkjördæmi norður,Rimaskóli,Reykjavíkurborg,0000
16-20,25,0.032509752925877766,Reykjavíkurkjördæmi norður,Rimaskóli,Reykjavíkurborg,0000
21-25,15,0.01950585175552666,Reykjavíkurkjördæmi norður,Rimaskóli,Reykjavíkurborg,0000
>26,7,0.009102730819245773,Reykjavíkurkjördæmi norður,Rimaskóli,Reykjavíkurborg,0000
0-5,275,0.350765306122449,Norðausturkjördæmi,Ráðhús Fjallabyggðar,Fjallabyggð,6250
6-10,249,0.31760204081632654,Norðausturkjördæmi,Ráðhús Fjallabyggðar,Fjallabyggð,6250
11-15,154,0.19642857142857142,Norðausturkjördæmi,Ráðhús Fjallabyggðar,Fjallabyggð,6250
16-20,18,0.02295918367346939,Norðausturkjördæmi,Ráðhús Fjallabyggðar,Fjallabyggð,6250
21-25,8,0.01020408163265306,Norðausturkjördæmi,Ráðhús Fjallabyggðar,Fjallabyggð,6250
>26,80,0.10204081632653061,Norðausturkjördæmi,Ráðhús Fjallabyggðar,Fjallabyggð,6250
0-5,257,0.1096884336320956,Reykjavíkurkjördæmi norður,Ráðhús Reykjavíkur,Reykjavíkurborg,0000
6-10,1123,0.4793000426803244,Reykjavíkurkjördæmi norður,Ráðhús Reykjavíkur,Reykjavíkurborg,0000
11-15,716,0.30559112249253095,Reykjavíkurkjördæmi norður,Ráðhús Reykjavíkur,Reykjavíkurborg,0000
16-20,247,0.10542040119504908,Reykjavíkurkjördæmi norður,Ráðhús Reykjavíkur,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi norður,Ráðhús Reykjavíkur,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi norður,Ráðhús Reykjavíkur,Reykjavíkurborg,0000
0-5,69,0.43125,Norðausturkjördæmi,Ráðhúsið Raufarhöfn,Norðurþing,6100
6-10,34,0.2125,Norðausturkjördæmi,Ráðhúsið Raufarhöfn,Norðurþing,6100
11-15,55,0.34375,Norðausturkjördæmi,Ráðhúsið Raufarhöfn,Norðurþing,6100
16-20,1,0.00625,Norðausturkjördæmi,Ráðhúsið Raufarhöfn,Norðurþing,6100
21-25,0,0.0,Norðausturkjördæmi,Ráðhúsið Raufarhöfn,Norðurþing,6100
>26,1,0.00625,Norðausturkjördæmi,Ráðhúsið Raufarhöfn,Norðurþing,6100
0-5,94,0.1663716814159292,Norðausturkjördæmi,Safnaðarheimili Reyðarfjarðarkirkju,Fjarðabyggð,7300
6-10,216,0.3823008849557522,Norðausturkjördæmi,Safnaðarheimili Reyðarfjarðarkirkju,Fjarðabyggð,7300
11-15,155,0.2743362831858407,Norðausturkjördæmi,Safnaðarheimili Reyðarfjarðarkirkju,Fjarðabyggð,7300
16-20,42,0.0743362831858407,Norðausturkjördæmi,Safnaðarheimili Reyðarfjarðarkirkju,Fjarðabyggð,7300
21-25,14,0.024778761061946902,Norðausturkjördæmi,Safnaðarheimili Reyðarfjarðarkirkju,Fjarðabyggð,7300
>26,44,0.07787610619469026,Norðausturkjördæmi,Safnaðarheimili Reyðarfjarðarkirkju,Fjarðabyggð,7300
0-5,53,0.12183908045977011,Norðausturkjördæmi,Safnaðarheimili Vopnafjarðarkirkju,Vopnafjarðarhreppur,7502
6-10,130,0.2988505747126437,Norðausturkjördæmi,Safnaðarheimili Vopnafjarðarkirkju,Vopnafjarðarhreppur,7502
11-15,78,0.1793103448275862,Norðausturkjördæmi,Safnaðarheimili Vopnafjarðarkirkju,Vopnafjarðarhreppur,7502
16-20,7,0.016091954022988506,Norðausturkjördæmi,Safnaðarheimili Vopnafjarðarkirkju,Vopnafjarðarhreppur,7502
21-25,4,0.009195402298850575,Norðausturkjördæmi,Safnaðarheimili Vopnafjarðarkirkju,Vopnafjarðarhreppur,7502
>26,163,0.37471264367816093,Norðausturkjördæmi,Safnaðarheimili Vopnafjarðarkirkju,Vopnafjarðarhreppur,7502
0-5,153,0.3200836820083682,Norðvesturkjördæmi,Samkomuhús Grundarfjarðar,Grundarfjarðarbær,3709
6-10,161,0.3368200836820084,Norðvesturkjördæmi,Samkomuhús Grundarfjarðar,Grundarfjarðarbær,3709
11-15,22,0.04602510460251046,Norðvesturkjördæmi,Samkomuhús Grundarfjarðar,Grundarfjarðarbær,3709
16-20,19,0.0397489539748954,Norðvesturkjördæmi,Samkomuhús Grundarfjarðar,Grundarfjarðarbær,3709
21-25,7,0.014644351464435146,Norðvesturkjördæmi,Samkomuhús Grundarfjarðar,Grundarfjarðarbær,3709
>26,116,0.24267782426778242,Norðvesturkjördæmi,Samkomuhús Grundarfjarðar,Grundarfjarðarbær,3709
0-5,117,0.16595744680851063,Suðurkjördæmi,Samkomuhúsið Staður,Sveitarfélagið Árborg,8200
6-10,108,0.15319148936170213,Suðurkjördæmi,Samkomuhúsið Staður,Sveitarfélagið Árborg,8200
11-15,106,0.150354609929078,Suðurkjördæmi,Samkomuhúsið Staður,Sveitarfélagið Árborg,8200
16-20,40,0.05673758865248227,Suðurkjördæmi,Samkomuhúsið Staður,Sveitarfélagið Árborg,8200
21-25,18,0.02553191489361702,Suðurkjördæmi,Samkomuhúsið Staður,Sveitarfélagið Árborg,8200
>26,316,0.4482269503546099,Suðurkjördæmi,Samkomuhúsið Staður,Sveitarfélagið Árborg,8200
0-5,100,0.12706480304955528,Suðurkjördæmi,Sandgerðisskóli,Suðurnesjabær,2510
6-10,383,0.4866581956797967,Suðurkjördæmi,Sandgerðisskóli,Suðurnesjabær,2510
11-15,129,0.1639135959339263,Suðurkjördæmi,Sandgerðisskóli,Suðurnesjabær,2510
16-20,70,0.08894536213468869,Suðurkjördæmi,Sandgerðisskóli,Suðurnesjabær,2510
21-25,7,0.008894536213468869,Suðurkjördæmi,Sandgerðisskóli,Suðurnesjabær,2510
>26,98,0.12452350698856417,Suðurkjördæmi,Sandgerðisskóli,Suðurnesjabær,2510
0-5,1,0.009009009009009009,Norðvesturkjördæmi,Skagabúð,Skagabyggð,5611
6-10,2,0.018018018018018018,Norðvesturkjördæmi,Skagabúð,Skagabyggð,5611
11-15,2,0.018018018018018018,Norðvesturkjördæmi,Skagabúð,Skagabyggð,5611
16-20,0,0.0,Norðvesturkjördæmi,Skagabúð,Skagabyggð,5611
21-25,0,0.0,Norðvesturkjördæmi,Skagabúð,Skagabyggð,5611
>26,106,0.954954954954955,Norðvesturkjördæmi,Skagabúð,Skagabyggð,5611
0-5,6,0.014354066985645933,Norðausturkjördæmi,Skjólbrekka,Skútustaðahreppur,6607
6-10,14,0.03349282296650718,Norðausturkjördæmi,Skjólbrekka,Skútustaðahreppur,6607
11-15,11,0.02631578947368421,Norðausturkjördæmi,Skjólbrekka,Skútustaðahreppur,6607
16-20,0,0.0,Norðausturkjördæmi,Skjólbrekka,Skútustaðahreppur,6607
21-25,0,0.0,Norðausturkjördæmi,Skjólbrekka,Skútustaðahreppur,6607
>26,387,0.9258373205741627,Norðausturkjördæmi,Skjólbrekka,Skútustaðahreppur,6607
0-5,7,0.016666666666666666,Norðvesturkjördæmi,Skrifstofa Reykhólahrepps,Reykhólahreppur,4502
6-10,28,0.06666666666666667,Norðvesturkjördæmi,Skrifstofa Reykhólahrepps,Reykhólahreppur,4502
11-15,51,0.12142857142857143,Norðvesturkjördæmi,Skrifstofa Reykhólahrepps,Reykhólahreppur,4502
16-20,5,0.011904761904761904,Norðvesturkjördæmi,Skrifstofa Reykhólahrepps,Reykhólahreppur,4502
21-25,2,0.004761904761904762,Norðvesturkjördæmi,Skrifstofa Reykhólahrepps,Reykhólahreppur,4502
>26,327,0.7785714285714286,Norðvesturkjördæmi,Skrifstofa Reykhólahrepps,Reykhólahreppur,4502
0-5,3,0.010067114093959731,Norðausturkjördæmi,Skólahúsið Kópaskeri,Norðurþing,6100
6-10,4,0.013422818791946308,Norðausturkjördæmi,Skólahúsið Kópaskeri,Norðurþing,6100
11-15,2,0.006711409395973154,Norðausturkjördæmi,Skólahúsið Kópaskeri,Norðurþing,6100
16-20,57,0.1912751677852349,Norðausturkjördæmi,Skólahúsið Kópaskeri,Norðurþing,6100
21-25,16,0.053691275167785234,Norðausturkjördæmi,Skólahúsið Kópaskeri,Norðurþing,6100
>26,216,0.7248322147651006,Norðausturkjördæmi,Skólahúsið Kópaskeri,Norðurþing,6100
0-5,1,0.009523809523809525,Norðausturkjördæmi,Skúlagarður,Norðurþing,6100
6-10,0,0.0,Norðausturkjördæmi,Skúlagarður,Norðurþing,6100
11-15,3,0.02857142857142857,Norðausturkjördæmi,Skúlagarður,Norðurþing,6100
16-20,6,0.05714285714285714,Norðausturkjördæmi,Skúlagarður,Norðurþing,6100
21-25,8,0.0761904761904762,Norðausturkjördæmi,Skúlagarður,Norðurþing,6100
>26,87,0.8285714285714286,Norðausturkjördæmi,Skúlagarður,Norðurþing,6100
0-5,1,0.00021862702229995628,Suðvesturkjördæmi,Smárinn,Kópavogsbær,1000
6-10,251,0.054875382597289024,Suðvesturkjördæmi,Smárinn,Kópavogsbær,1000
11-15,576,0.12592916484477482,Suðvesturkjördæmi,Smárinn,Kópavogsbær,1000
16-20,611,0.13358111062527328,Suðvesturkjördæmi,Smárinn,Kópavogsbær,1000
21-25,1013,0.2214691735898557,Suðvesturkjördæmi,Smárinn,Kópavogsbær,1000
>26,2122,0.4639265413205072,Suðvesturkjördæmi,Smárinn,Kópavogsbær,1000
0-5,32,0.00612088752869166,Suðurkjördæmi,Stjórnsýsluhúsið á Borg,Grímsnes- og Grafningshreppur,8719
6-10,58,0.011094108645753635,Suðurkjördæmi,Stjórnsýsluhúsið á Borg,Grímsnes- og Grafningshreppur,8719
11-15,18,0.0034429992348890587,Suðurkjördæmi,Stjórnsýsluhúsið á Borg,Grímsnes- og Grafningshreppur,8719
16-20,29,0.005547054322876817,Suðurkjördæmi,Stjórnsýsluhúsið á Borg,Grímsnes- og Grafningshreppur,8719
21-25,28,0.005355776587605203,Suðurkjördæmi,Stjórnsýsluhúsið á Borg,Grímsnes- og Grafningshreppur,8719
>26,5063,0.9684391736801836,Suðurkjördæmi,Stjórnsýsluhúsið á Borg,Grímsnes- og Grafningshreppur,8719
0-5,48,0.061224489795918366,Norðvesturkjördæmi,Stjórnsýsluhúsið í Dalabyggð,Dalabyggð,3811
6-10,96,0.12244897959183673,Norðvesturkjördæmi,Stjórnsýsluhúsið í Dalabyggð,Dalabyggð,3811
11-15,21,0.026785714285714284,Norðvesturkjördæmi,Stjórnsýsluhúsið í Dalabyggð,Dalabyggð,3811
16-20,1,0.0012755102040816326,Norðvesturkjördæmi,Stjórnsýsluhúsið í Dalabyggð,Dalabyggð,3811
21-25,2,0.002551020408163265,Norðvesturkjördæmi,Stjórnsýsluhúsið í Dalabyggð,Dalabyggð,3811
>26,616,0.7857142857142857,Norðvesturkjördæmi,Stjórnsýsluhúsið í Dalabyggð,Dalabyggð,3811
0-5,53,0.03547523427041499,Norðvesturkjördæmi,Stjórnsýsluhúsið í Melahverfi,Hvalfjarðarsveit,3511
6-10,4,0.002677376171352075,Norðvesturkjördæmi,Stjórnsýsluhúsið í Melahverfi,Hvalfjarðarsveit,3511
11-15,1,0.0006693440428380187,Norðvesturkjördæmi,Stjórnsýsluhúsið í Melahverfi,Hvalfjarðarsveit,3511
16-20,4,0.002677376171352075,Norðvesturkjördæmi,Stjórnsýsluhúsið í Melahverfi,Hvalfjarðarsveit,3511
21-25,14,0.009370816599732263,Norðvesturkjördæmi,Stjórnsýsluhúsið í Melahverfi,Hvalfjarðarsveit,3511
>26,1418,0.9491298527443106,Norðvesturkjördæmi,Stjórnsýsluhúsið í Melahverfi,Hvalfjarðarsveit,3511
0-5,164,0.2534775888717156,Suðurkjördæmi,Stóru-Vogaskóli,Sveitarfélagið Vogar,2506
6-10,205,0.3168469860896445,Suðurkjördæmi,Stóru-Vogaskóli,Sveitarfélagið Vogar,2506
11-15,71,0.10973724884080371,Suðurkjördæmi,Stóru-Vogaskóli,Sveitarfélagið Vogar,2506
16-20,15,0.023183925811437404,Suðurkjördæmi,Stóru-Vogaskóli,Sveitarfélagið Vogar,2506
21-25,2,0.0030911901081916537,Suðurkjördæmi,Stóru-Vogaskóli,Sveitarfélagið Vogar,2506
>26,190,0.2936630602782071,Suðurkjördæmi,Stóru-Vogaskóli,Sveitarfélagið Vogar,2506
0-5,4,0.05063291139240506,Norðausturkjördæmi,Svalbarðsskóli,Svalbarðshreppur,6706
6-10,1,0.012658227848101266,Norðausturkjördæmi,Svalbarðsskóli,Svalbarðshreppur,6706
11-15,0,0.0,Norðausturkjördæmi,Svalbarðsskóli,Svalbarðshreppur,6706
16-20,0,0.0,Norðausturkjördæmi,Svalbarðsskóli,Svalbarðshreppur,6706
21-25,1,0.012658227848101266,Norðausturkjördæmi,Svalbarðsskóli,Svalbarðshreppur,6706
>26,73,0.9240506329113924,Norðausturkjördæmi,Svalbarðsskóli,Svalbarðshreppur,6706
0-5,6,0.12,Norðausturkjördæmi,Sólbrekka,Fjarðabyggð,7300
6-10,7,0.14,Norðausturkjördæmi,Sólbrekka,Fjarðabyggð,7300
11-15,10,0.2,Norðausturkjördæmi,Sólbrekka,Fjarðabyggð,7300
16-20,1,0.02,Norðausturkjördæmi,Sólbrekka,Fjarðabyggð,7300
21-25,0,0.0,Norðausturkjördæmi,Sólbrekka,Fjarðabyggð,7300
>26,26,0.52,Norðausturkjördæmi,Sólbrekka,Fjarðabyggð,7300
0-5,61,0.2747747747747748,Norðvesturkjördæmi,Súðavíkurskóli,Súðavíkurhreppur,4803
6-10,26,0.11711711711711711,Norðvesturkjördæmi,Súðavíkurskóli,Súðavíkurhreppur,4803
11-15,32,0.14414414414414414,Norðvesturkjördæmi,Súðavíkurskóli,Súðavíkurhreppur,4803
16-20,31,0.13963963963963963,Norðvesturkjördæmi,Súðavíkurskóli,Súðavíkurhreppur,4803
21-25,4,0.018018018018018018,Norðvesturkjördæmi,Súðavíkurskóli,Súðavíkurhreppur,4803
>26,68,0.3063063063063063,Norðvesturkjördæmi,Súðavíkurskóli,Súðavíkurhreppur,4803
0-5,117,0.3295774647887324,Norðausturkjördæmi,Tryggvabúð,Múlaþing,7400
6-10,93,0.2619718309859155,Norðausturkjördæmi,Tryggvabúð,Múlaþing,7400
11-15,22,0.061971830985915494,Norðausturkjördæmi,Tryggvabúð,Múlaþing,7400
16-20,1,0.0028169014084507044,Norðausturkjördæmi,Tryggvabúð,Múlaþing,7400
21-25,0,0.0,Norðausturkjördæmi,Tryggvabúð,Múlaþing,7400
>26,122,0.3436619718309859,Norðausturkjördæmi,Tryggvabúð,Múlaþing,7400
0-5,7,0.04,Norðvesturkjördæmi,Tálknafjarðarskóli,Tálknafjarðarhreppur,4604
6-10,24,0.13714285714285715,Norðvesturkjördæmi,Tálknafjarðarskóli,Tálknafjarðarhreppur,4604
11-15,92,0.5257142857142857,Norðvesturkjördæmi,Tálknafjarðarskóli,Tálknafjarðarhreppur,4604
16-20,21,0.12,Norðvesturkjördæmi,Tálknafjarðarskóli,Tálknafjarðarhreppur,4604
21-25,1,0.005714285714285714,Norðvesturkjördæmi,Tálknafjarðarskóli,Tálknafjarðarhreppur,4604
>26,30,0.17142857142857143,Norðvesturkjördæmi,Tálknafjarðarskóli,Tálknafjarðarhreppur,4604
0-5,55,0.10638297872340426,Norðausturkjördæmi,Tónlistarmiðstöð Austurlands,Fjarðabyggð,7300
6-10,133,0.2572533849129594,Norðausturkjördæmi,Tónlistarmiðstöð Austurlands,Fjarðabyggð,7300
11-15,71,0.13733075435203096,Norðausturkjördæmi,Tónlistarmiðstöð Austurlands,Fjarðabyggð,7300
16-20,105,0.20309477756286268,Norðausturkjördæmi,Tónlistarmiðstöð Austurlands,Fjarðabyggð,7300
21-25,46,0.08897485493230174,Norðausturkjördæmi,Tónlistarmiðstöð Austurlands,Fjarðabyggð,7300
>26,107,0.20696324951644102,Norðausturkjördæmi,Tónlistarmiðstöð Austurlands,Fjarðabyggð,7300
0-5,129,0.1238003838771593,Suðvesturkjördæmi,Valhúsaskóli,Seltjarnarnesbær,1100
6-10,397,0.3809980806142035,Suðvesturkjördæmi,Valhúsaskóli,Seltjarnarnesbær,1100
11-15,448,0.42994241842610365,Suðvesturkjördæmi,Valhúsaskóli,Seltjarnarnesbær,1100
16-20,60,0.05758157389635317,Suðvesturkjördæmi,Valhúsaskóli,Seltjarnarnesbær,1100
21-25,5,0.0047984644913627635,Suðvesturkjördæmi,Valhúsaskóli,Seltjarnarnesbær,1100
>26,3,0.0028790786948176585,Suðvesturkjördæmi,Valhúsaskóli,Seltjarnarnesbær,1100
0-5,127,0.03798982949446605,Suðurkjördæmi,Vallaskóli,Sveitarfélagið Árborg,8200
6-10,684,0.20460664074184864,Suðurkjördæmi,Vallaskóli,Sveitarfélagið Árborg,8200
11-15,875,0.26174095124139996,Suðurkjördæmi,Vallaskóli,Sveitarfélagið Árborg,8200
16-20,1054,0.31528567155249776,Suðurkjördæmi,Vallaskóli,Sveitarfélagið Árborg,8200
21-25,382,0.11426862099910261,Suðurkjördæmi,Vallaskóli,Sveitarfélagið Árborg,8200
>26,221,0.06610828597068501,Suðurkjördæmi,Vallaskóli,Sveitarfélagið Árborg,8200
0-5,48,0.10256410256410256,Norðausturkjördæmi,Valsárskóli,Svalbarðsstrandarhreppur,6601
6-10,26,0.05555555555555555,Norðausturkjördæmi,Valsárskóli,Svalbarðsstrandarhreppur,6601
11-15,32,0.06837606837606838,Norðausturkjördæmi,Valsárskóli,Svalbarðsstrandarhreppur,6601
16-20,23,0.049145299145299144,Norðausturkjördæmi,Valsárskóli,Svalbarðsstrandarhreppur,6601
21-25,18,0.038461538461538464,Norðausturkjördæmi,Valsárskóli,Svalbarðsstrandarhreppur,6601
>26,321,0.6858974358974359,Norðausturkjördæmi,Valsárskóli,Svalbarðsstrandarhreppur,6601
0-5,26,0.07602339181286549,Norðvesturkjördæmi,Varmahlíðarskóli,Sveitarfélagið Skagafjörður,5200
6-10,47,0.13742690058479531,Norðvesturkjördæmi,Varmahlíðarskóli,Sveitarfélagið Skagafjörður,5200
11-15,28,0.08187134502923976,Norðvesturkjördæmi,Varmahlíðarskóli,Sveitarfélagið Skagafjörður,5200
16-20,19,0.05555555555555555,Norðvesturkjördæmi,Varmahlíðarskóli,Sveitarfélagið Skagafjörður,5200
21-25,2,0.005847953216374269,Norðvesturkjördæmi,Varmahlíðarskóli,Sveitarfélagið Skagafjörður,5200
>26,220,0.6432748538011696,Norðvesturkjördæmi,Varmahlíðarskóli,Sveitarfélagið Skagafjörður,5200
0-5,189,0.03402340234023402,Norðausturkjördæmi,Verkmenntaskólinn á Akureyri,Akureyrarbær,6000
6-10,549,0.09882988298829883,Norðausturkjördæmi,Verkmenntaskólinn á Akureyri,Akureyrarbær,6000
11-15,787,0.1416741674167417,Norðausturkjördæmi,Verkmenntaskólinn á Akureyri,Akureyrarbær,6000
16-20,977,0.17587758775877588,Norðausturkjördæmi,Verkmenntaskólinn á Akureyri,Akureyrarbær,6000
21-25,390,0.0702070207020702,Norðausturkjördæmi,Verkmenntaskólinn á Akureyri,Akureyrarbær,6000
>26,2663,0.47938793879387936,Norðausturkjördæmi,Verkmenntaskólinn á Akureyri,Akureyrarbær,6000
0-5,183,0.11104368932038836,Suðurkjördæmi,Versalir,Sveitarfélagið Ölfus,8717
6-10,414,0.2512135922330097,Suðurkjördæmi,Versalir,Sveitarfélagið Ölfus,8717
11-15,119,0.07220873786407767,Suðurkjördæmi,Versalir,Sveitarfélagið Ölfus,8717
16-20,51,0.030946601941747573,Suðurkjördæmi,Versalir,Sveitarfélagið Ölfus,8717
21-25,9,0.0054611650485436895,Suðurkjördæmi,Versalir,Sveitarfélagið Ölfus,8717
>26,872,0.529126213592233,Suðurkjördæmi,Versalir,Sveitarfélagið Ölfus,8717
0-5,429,0.5958333333333333,Reykjavíkurkjördæmi norður,Vesturbæjarskóli,Reykjavíkurborg,0000
6-10,184,0.25555555555555554,Reykjavíkurkjördæmi norður,Vesturbæjarskóli,Reykjavíkurborg,0000
11-15,71,0.09861111111111111,Reykjavíkurkjördæmi norður,Vesturbæjarskóli,Reykjavíkurborg,0000
16-20,29,0.04027777777777778,Reykjavíkurkjördæmi norður,Vesturbæjarskóli,Reykjavíkurborg,0000
21-25,5,0.006944444444444444,Reykjavíkurkjördæmi norður,Vesturbæjarskóli,Reykjavíkurborg,0000
>26,2,0.002777777777777778,Reykjavíkurkjördæmi norður,Vesturbæjarskóli,Reykjavíkurborg,0000
0-5,1,0.0125,Norðausturkjördæmi,Végarður,Fljótsdalshreppur,7505
6-10,1,0.0125,Norðausturkjördæmi,Végarður,Fljótsdalshreppur,7505
11-15,1,0.0125,Norðausturkjördæmi,Végarður,Fljótsdalshreppur,7505
16-20,0,0.0,Norðausturkjördæmi,Végarður,Fljótsdalshreppur,7505
21-25,1,0.0125,Norðausturkjördæmi,Végarður,Fljótsdalshreppur,7505
>26,76,0.95,Norðausturkjördæmi,Végarður,Fljótsdalshreppur,7505
0-5,138,0.2623574144486692,Suðurkjördæmi,Víkurskóli,Mýrdalshreppur,8508
6-10,120,0.22813688212927757,Suðurkjördæmi,Víkurskóli,Mýrdalshreppur,8508
11-15,22,0.04182509505703422,Suðurkjördæmi,Víkurskóli,Mýrdalshreppur,8508
16-20,1,0.0019011406844106464,Suðurkjördæmi,Víkurskóli,Mýrdalshreppur,8508
21-25,1,0.0019011406844106464,Suðurkjördæmi,Víkurskóli,Mýrdalshreppur,8508
>26,244,0.46387832699619774,Suðurkjördæmi,Víkurskóli,Mýrdalshreppur,8508
0-5,57,0.0232463295269168,Suðvesturkjördæmi,Víðistaðaskóli,Hafnarfjarðarkaupstaður,1400
6-10,479,0.19535073409461665,Suðvesturkjördæmi,Víðistaðaskóli,Hafnarfjarðarkaupstaður,1400
11-15,419,0.17088091353996737,Suðvesturkjördæmi,Víðistaðaskóli,Hafnarfjarðarkaupstaður,1400
16-20,3,0.0012234910277324632,Suðvesturkjördæmi,Víðistaðaskóli,Hafnarfjarðarkaupstaður,1400
21-25,0,0.0,Suðvesturkjördæmi,Víðistaðaskóli,Hafnarfjarðarkaupstaður,1400
>26,1494,0.6092985318107668,Suðvesturkjördæmi,Víðistaðaskóli,Hafnarfjarðarkaupstaður,1400
0-5,145,0.35108958837772397,Reykjavíkurkjördæmi norður,Álftamýrarskóli,Reykjavíkurborg,0000
6-10,169,0.4092009685230024,Reykjavíkurkjördæmi norður,Álftamýrarskóli,Reykjavíkurborg,0000
11-15,93,0.22518159806295399,Reykjavíkurkjördæmi norður,Álftamýrarskóli,Reykjavíkurborg,0000
16-20,6,0.014527845036319613,Reykjavíkurkjördæmi norður,Álftamýrarskóli,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi norður,Álftamýrarskóli,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi norður,Álftamýrarskóli,Reykjavíkurborg,0000
0-5,165,0.18032786885245902,Suðvesturkjördæmi,Álftanesskóli,Garðabær,1300
6-10,281,0.307103825136612,Suðvesturkjördæmi,Álftanesskóli,Garðabær,1300
11-15,166,0.1814207650273224,Suðvesturkjördæmi,Álftanesskóli,Garðabær,1300
16-20,74,0.08087431693989071,Suðvesturkjördæmi,Álftanesskóli,Garðabær,1300
21-25,21,0.022950819672131147,Suðvesturkjördæmi,Álftanesskóli,Garðabær,1300
>26,208,0.2273224043715847,Suðvesturkjördæmi,Álftanesskóli,Garðabær,1300
0-5,204,0.11505922165820642,Reykjavíkurkjördæmi suður,Árbæjarskóli,Reykjavíkurborg,0000
6-10,416,0.23463056965595036,Reykjavíkurkjördæmi suður,Árbæjarskóli,Reykjavíkurborg,0000
